amount,duration,payments,tenure_at_loan,frequency_bank_statements,inhabitants,no_cities,urban_ratio,avg_salary,avg_unemp_95_96,entr_per_1k,avg_crimes_95_96,min_balance_pre_loan,avg_balance_pre_loan,num_transactions_pre_loan,share_cash_trans,amount_disponents,card_type_at_loan,gender,age_at_loan,result
80952,24,3373,10,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,1100,32590.624074074076,54,0.53704,2,"no card",male,48,pass
30276,12,2523,12,"monthly issuance",103347,7,67,9104,1.79,123,2326.5000,715,25197.092499999995,80,0.53750,1,"no card",female,57,fail
30276,12,2523,16,"monthly issuance",228848,6,57.2,9893,4.404999999999999,96,5755.0000,900,62991.26463414633,164,0.64634,1,"no card",male,35,pass
318480,60,5308,13,"monthly issuance",70646,4,58.4,8547,3.145,120,1552.5000,-1011.2,39953.97068965515,116,0.56897,1,"no card",male,46,fail
110736,48,2307,8,"weekly issuance",51428,4,52.7,8402,3.5549999999999997,120,1049.0000,13841,31383.44909090909,55,0.45455,1,"no card",female,58,pass
165960,24,6915,18,"monthly issuance",93931,8,56.9,8427,1.33,107,1893.5000,700,52523.244800000015,125,0.48800,1,"no card",female,51,pass
102876,12,8573,15,"monthly issuance",323870,1,100,10673,5.095000000000001,100,18564.5000,900,33057.37457627118,118,0.50847,2,"no card",male,55,pass
265320,36,7370,20,"monthly issuance",105606,7,53,8254,3.275,97,2245.5000,379,46266.57469879515,83,0.75904,1,"no card",male,30,fail
352704,48,7348,16,"monthly issuance",103347,7,67,9104,1.79,123,2326.5000,800,30797.48750000001,56,0.73214,1,classic,female,47,pass
162576,36,4516,13,"monthly issuance",159617,9,85.2,9198,3.805,131,5964.0000,900,46148.29761904762,84,0.64286,1,"no card",male,44,pass
88440,12,7370,5,"issuance after transaction",128118,8,85.3,9317,6.78,97,6910.5000,200,62778.09032258065,31,0.80645,2,"no card",female,51,pass
104808,12,8734,6,"monthly issuance",125832,5,48.3,8512,3.815,102,2175.0000,500,38709.83,30,0.56667,2,"no card",male,54,pass
27456,12,2288,7,"weekly issuance",161227,10,69.7,8678,5.75,102,4787.5000,800,48780.095999999976,75,0.69333,1,"no card",male,29,pass
109344,12,9112,16,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,1000,48376.25806451615,93,0.67742,1,classic,female,53,pass
160920,36,4470,11,"monthly issuance",85852,4,59.8,8965,7.655,104,2737.5000,700,51649.39830508475,59,0.47458,1,classic,male,27,pass
